original_text,true_label,predicted_label_svm
harap moga suami kerja tabung habis cincin kawin paksa djual syukur makan tumpang orangtua tp kasihan orang tua kurang sy doa moga kakak sehat lancar lahir aamiin,bukan ujaran kebencian,bukan ujaran kebencian
abg gibran,bukan ujaran kebencian,bukan ujaran kebencian
cantik cekal,bukan ujaran kebencian,bukan ujaran kebencian
berkah orang,bukan ujaran kebencian,bukan ujaran kebencian
mbacot valuable,bukan ujaran kebencian,bukan ujaran kebencian
istana,ujaran kebencian,bukan ujaran kebencian
isi hujat pantas sih isi,ujaran kebencian,bukan ujaran kebencian
tonton film dirty pilih ayo,bukan ujaran kebencian,bukan ujaran kebencian
selebriti palestina takut hilang kerja allah maha,bukan ujaran kebencian,bukan ujaran kebencian
oke,bukan ujaran kebencian,bukan ujaran kebencian
bicara jaket nya mas,bukan ujaran kebencian,bukan ujaran kebencian
huni rumah cek biologi ya teman,bukan ujaran kebencian,bukan ujaran kebencian
moga lancar salin kakak baby sehat sehat yaa biar anteng rumah coba sedia,bukan ujaran kebencian,bukan ujaran kebencian
subhanallah bahagia istri,bukan ujaran kebencian,bukan ujaran kebencian
lawak kakak,bukan ujaran kebencian,bukan ujaran kebencian
harap moga sehat rezeki lancar besok anak ulang moga acara lancar ammiin,bukan ujaran kebencian,bukan ujaran kebencian
gusi nya seram,ujaran kebencian,bukan ujaran kebencian
cantik bingit ht nya cantik rendah hati keluarga samawa aminx,bukan ujaran kebencian,bukan ujaran kebencian
tenang mbak lolos lolos komisi berantas korupsi mudah kejar,ujaran kebencian,bukan ujaran kebencian
agustus rakyat indonesia aksi moga allah jaga rakyat indonesia mohon sadar micek mbudeg mas astagfirullah,bukan ujaran kebencian,ujaran kebencian
umrah nya pakai uang rakyat,ujaran kebencian,ujaran kebencian
kesini gara gara video dasar ndeso,bukan ujaran kebencian,ujaran kebencian
kakak ceryl ku nya suka ditanyain bapa,bukan ujaran kebencian,bukan ujaran kebencian
bahagia,bukan ujaran kebencian,bukan ujaran kebencian
ma persis solo meh degradasi,bukan ujaran kebencian,bukan ujaran kebencian
laku manantu anggur mertua detik marah marah curhat,bukan ujaran kebencian,bukan ujaran kebencian
mantap mas cari suara kandang banteng strategi,bukan ujaran kebencian,bukan ujaran kebencian
ersofgun saudara air lembut gun ya hehe,bukan ujaran kebencian,bukan ujaran kebencian
bismillah sehat sehat ya kakak salin hamil moga sehat salin ya lancar mudah amin,bukan ujaran kebencian,bukan ujaran kebencian
kakak savage mas admin legendary,bukan ujaran kebencian,bukan ujaran kebencian
suit suit,bukan ujaran kebencian,bukan ujaran kebencian
aduh sosweet kakak gibran,bukan ujaran kebencian,bukan ujaran kebencian
ikkrwpio cxz,bukan ujaran kebencian,bukan ujaran kebencian
hati lu,ujaran kebencian,bukan ujaran kebencian
kampung beli seledri pasang suami istri sombong,bukan ujaran kebencian,ujaran kebencian
terjemahane mana,bukan ujaran kebencian,bukan ujaran kebencian
bsok akhirat malaikat tuhan ya tau,ujaran kebencian,bukan ujaran kebencian
selamat ya kakak sukses,bukan ujaran kebencian,bukan ujaran kebencian
masyaallah sehat sehat hamil pakmil,bukan ujaran kebencian,bukan ujaran kebencian
tegal lurus jokowi,bukan ujaran kebencian,bukan ujaran kebencian
sehat jokowi terima kasih pimpin indonesia biar anak anak terus,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih,bukan ujaran kebencian,bukan ujaran kebencian
